#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1607,Dylan Dodd,689266,689266,29928,11765,*05uy4*,ATL,RP,RP,Dodd,Dylan,Dodd,Dylan,Dylan Dodd
1608,Matt Koperniak,689288,689288,sa3014834,12265,*05wb2*,STL,OF,OF,Koperniak,Matt,Koperniak,Matt,
1609,Liam Hicks,689414,689414,29844,11943,*05ynb*,MIA,C/1B,C/1B,Hicks,Liam,Hicks,Liam,Liam Hicks
1610,Drew Thorpe,689672,689672,31967,11896,*05yb1*,CHW,SP,SP,Thorpe,Drew,Thorpe,Drew,Drew Thorpe
1611,Alek Jacob,689690,689690,29628,11824,*05xq0*,SD,RP,RP,Jacob,Alek,Jacob,Alek,Alek Jacob
1612,Andrew Walters,689958,689958,33834,12182,*061a8*,CLE,RP,RP,Walters,Andrew,Walters,Andrew,Andrew Walters
1613,River Ryan,689981,689981,29514,11910,*05ynx*,LAD,SP,SP,Ryan,River,Ryan,River,River Ryan
1614,Ryan Ritter,690022,690022,31500,12406,*05xu2*,COL,2B/SS,2B/SS,Ritter,Ryan,Ritter,Ryan,Ryan Ritter
1615,Jace Jung,690291,690291,31437,11929,*05tzg*,DET,3B,3B,Jung,Jace,Jung,Jace,Jace Jung
1616,Ben Joyce,690829,690829,31461,11754,*060eu*,LAA,RP,RP,Joyce,Ben,Joyce,Ben,Ben Joyce
1617,Richard Fitts,690916,690916,30160,12014,*05rav*,BOS,SP,SP,Fitts,Richard,Fitts,Richard,Richard Fitts
1618,Braxton Fulford,690924,690924,29704,12378,*05yc9*,COL,C,C,Fulford,Braxton,Fulford,Braxton,Braxton Fulford
1619,Clayton Beeter,690925,690925,27494,11106,*05jnq*,WSH,RP,RP,Beeter,Clayton,Beeter,Clayton,Clayton Beeter
1620,Hunter Dobbins,690928,690928,30240,12280,*05y6w*,BOS,SP,SP,Dobbins,Hunter,Dobbins,Hunter,Hunter Dobbins
1621,Mick Abel,690953,690953,27756,11632,*05g4k*,MIN,SP,SP,Abel,Mick,Abel,Mick,Mick Abel
1622,Enrique Bradfield Jr.,690961,690961,sa3022917,12213,*05jre*,BAL,OF,OF,Bradfield Jr.,Enrique,Bradfield Jr.,Enrique,
1623,Alex Freeland,690976,690976,31665,12231,*05xu1*,LAD,2B/SS/ 3B,2B/SS/ 3B,Freeland,Alex,Freeland,Alex,Alex Freeland
1624,Dax Fulton,690978,690978,sa3014535,11757,*05gwu*,MIA,SP,SP,Fulton,Dax,Fulton,Dax,
1625,Kyle Harrison,690986,690986,27758,11597,*05js3*,BOS,SP,SP,Harrison,Kyle,Harrison,Kyle,Kyle Harrison
1626,Robert Hassell III,690987,690987,27482,11046,*05gbe*,WSH,OF,OF,Hassell III,Robert,Hassell III,Robert,Robert Hassell III
1627,Austin Hendrick,690988,690988,sa3014521,10828,*04n1t*,CIN,OF,OF,Hendrick,Austin,Hendrick,Austin,
1628,Cade Horton,690990,690990,31872,11886,*05gww*,CHC,SP,SP,Horton,Cade,Horton,Cade,Cade Horton
1629,Colt Keith,690993,690993,27899,11825,*05jrh*,DET,1B/2B/ 3B,1B/2B/ 3B,Keith,Colt,Keith,Colt,Colt Keith
1630,Nolan McLean,690997,690997,33703,12443,*05y7s*,NYM,SP,SP,McLean,Nolan,McLean,Nolan,Nolan McLean
1631,Tre’ Morgan,691003,691003,sa3022919,12332,*05wrt*,TB,OF,OF,Morgan,Tre’,Morgan,Tre’,
1632,Drew Romo,691011,691011,27763,11914,*05gwr*,COL,C,C,Romo,Drew,Romo,Drew,Drew Romo
1633,Tyler Soderstrom,691016,691016,27467,11071,*05gtn*,ATH,1B/OF,1B/ OF,Soderstrom,Tyler,Soderstrom,Tyler,Tyler Soderstrom
1634,Kyle Teel,691019,691019,33549,11901,*05wxy*,CHW,C,C,Teel,Kyle,Teel,Kyle,Kyle Teel
1635,A.J. Vukovich,691021,691021,sa3014525,11616,*05jql*,ARI,3B,3B,Vukovich,A.J.,Vukovich,A.J.,
1636,Jordan Walker,691023,691023,27475,10885,*05gbf*,STL,OF,OF,Walker,Jordan,Walker,Jordan,Jordan Walker
1637,Masyn Winn,691026,691026,27479,10899,*05gwy*,STL,SS,SS,Winn,Masyn,Winn,Masyn,Masyn Winn
1638,Randy Wynne,691094,691094,25804,11816,*058py*,CIN,SP,SP,Wynne,Randy,Wynne,Randy,Randy Wynne
1639,Yosver Zulueta,691172,691172,27765,11687,*05it9*,CIN,RP,RP,Zulueta,Yosver,Zulueta,Yosver,Yosver Zulueta
1640,Jasson Dominguez,691176,691176,28080,11749,*050c3*,NYY,OF,OF,Dominguez,Jasson,Domínguez,Jasson,Jasson Domínguez
1641,Emmanuel Rodriguez,691181,691181,sa3014693,11990,*054p6*,MIN,OF,OF,Rodriguez,Emmanuel,Rodriguez,Emmanuel,
1642,Adael Amador,691182,691182,27962,11965,*04ysv*,COL,2B,2B,Amador,Adael,Amador,Adael,Adael Amador
1643,Maximo Acosta,691185,691185,27963,12290,*0568a*,MIA,2B,2B,Acosta,Maximo,Acosta,Maximo,Maximo Acosta
1644,Deyvison De Los Santos,691277,691277,sa3015168,11615,*05nsq*,MIA,1B,1B/3B,De Los Santos,Deyvison,De Los Santos,Deyvison,Deyvison De Los Santos
1645,Moises Chace,691330,691330,sa3015346,12264,*060vu*,PHI,SP,SP,Chace,Moises,Chace,Moisés,
1646,Jhostynxon Garcia,691373,691373,28142,12279,*05j8u*,BOS,OF,OF,Garcia,Jhostynxon,Garcia,Jhostynxon,Jhostynxon Garcia
1647,Junior Caminero,691406,691406,28163,11875,*05xch*,TB,3B,3B,Caminero,Junior,Caminero,Junior,Junior Caminero
1648,Cristian Mena,691441,691441,27974,11978,*05ita*,ARI,RP,RP,Mena,Cristian,Mena,Cristian,Cristian Mena
1649,Eury Perez,691587,691587,27768,11591,*05aoc*,MIA,SP,SP,Perez,Eury,Pérez,Eury,Eury Pérez
1650,Javier Sanoja,691594,691594,28253,12177,*062ho*,MIA,2B/SS/ 3B/OF,2B/SS/ 3B/OF,Sanoja,Javier,Sanoja,Javier,Javier Sanoja
1651,Jeferson Quero,691620,691620,sa3015407,11906,*05gss*,MIL,C,C,Quero,Jeferson,Quero,Jeferson,
1652,Pete Crow-Armstrong,691718,691718,27769,11864,*051wv*,CHC,OF,OF,Crow-Armstrong,Pete,Crow-Armstrong,Pete,Pete Crow-Armstrong
1653,Kyle Karros,691720,691720,33252,12439,*06dsa*,COL,3B,3B,Karros,Kyle,Karros,Kyle,Kyle Karros
1654,Jared Kelley,691721,691721,sa3014471,11091,*05g4j*,CHW,RP,RP,Kelley,Jared,Kelley,Jared,
1655,Coby Mayo,691723,691723,28312,11889,*05js5*,BAL,1B/3B,1B/3B,Mayo,Coby,Mayo,Coby,Coby Mayo
1656,Andrew Painter,691725,691725,sa3017880,11585,*05r3i*,PHI,SP,SP,Painter,Andrew,Painter,Andrew,
1657,Zac Veen,691728,691728,27770,11331,*05gbg*,COL,OF,OF,Veen,Zac,Veen,Zac,Zac Veen
1658,Max Muncy,691777,691777,29779,12301,*05t9l*,ATH,2B/SS/ 3B,2B/SS/ 3B,Muncy,Max,Muncy,Max,Max Muncy
1659,Brady House,691781,691781,29993,11926,*059bx*,WSH,3B,3B,House,Brady,House,Brady,Brady House
1660,Jordan Lawlar,691783,691783,29976,11439,*05r1m*,ARI,SS,SS,Lawlar,Jordan,Lawlar,Jordan,Jordan Lawlar
1661,Marcelo Mayer,691785,691785,29668,11934,*05r9j*,BOS,SS/3B,SS/3B,Mayer,Marcelo,Mayer,Marcelo,Marcelo Mayer
1662,Grant Taylor,691799,691799,33927,12359,*066er*,CHW,RP,RP,Taylor,Grant,Taylor,Grant,Grant Taylor
1663,Sem Robberse,691828,691828,sa3011735,11976,*05gea*,STL,RP,RP,Robberse,Sem,Robberse,Sem,
1664,Jared Serna,691858,691858,sa3015579,12263,*062jx*,MIA,2B,2B,Serna,Jared,Serna,Jared,
1665,Tsung-Che Cheng,691907,691907,28344,11998,*05y34*,PIT,SS,SS,Cheng,Tsung-Che,Cheng,Tsung-Che,Tsung-Che Cheng
1666,Jesus Castillo,691913,691913,sa3015587,9853,*062l1*,PIT,SS,SS,Castillo,Jesus,Castillo,Jesus,
